"HGNC_join","external_gene_name","ensembl_gene_id","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","Group","Family","SubFamily","ensembl"
"SCYL2","SCYL2","ENSG00000136021","SCY1 like pseudokinase 2","SCY1 like pseudokinases","Y","N","N","HGNC:19286","SCYL2","Other","SCY1",NA,NA,NA,NA,NA
"SCYL3","SCYL3","ENSG00000000457","SCY1 like pseudokinase 3","SCY1 like pseudokinases","Y","N","N","HGNC:19285","SCYL3","Other","SCY1",NA,NA,NA,NA,NA
"SEPHS1","SEPHS1","ENSG00000086475","selenophosphate synthetase 1",NA,"N","Y","N","HGNC:19685","SEPHS1",NA,NA,NA,NA,NA,NA,NA
"SEPHS2","SEPHS2","ENSG00000179918","selenophosphate synthetase 2",NA,"N","Y","N","HGNC:19686","SEPHS2",NA,NA,NA,NA,NA,NA,NA
"SGK1","SGK1","ENSG00000118515","serum/glucocorticoid regulated kinase 1","Serum/glucocorticoid regulated kinase family","Y","N","N","HGNC:10810","SGK1","AGC","SGK",NA,NA,NA,NA,NA
"SGK2","SGK2","ENSG00000101049","serum/glucocorticoid regulated kinase 2","Serum/glucocorticoid regulated kinase family","Y","N","N","HGNC:13900","SGK2","AGC","SGK",NA,NA,NA,NA,NA
"SGK3","SGK3","ENSG00000104205","serum/glucocorticoid regulated kinase family member 3","Serum/glucocorticoid regulated kinase family","Y","N","N","HGNC:10812","SGK3","AGC","SGK",NA,NA,NA,NA,NA
"SGMS1","SGMS1","ENSG00000198964","sphingomyelin synthase 1",NA,"N","Y","Y","HGNC:29799","SGMS1",NA,NA,NA,NA,NA,NA,NA
"SGMS2","SGMS2","ENSG00000164023","sphingomyelin synthase 2",NA,"N","Y","Y","HGNC:28395","SGMS2",NA,NA,NA,NA,NA,NA,NA
"SH3KBP1","SH3KBP1","ENSG00000147010","SH3 domain containing kinase binding protein 1",NA,"N","N","N","HGNC:13867","SH3KBP1",NA,NA,NA,NA,NA,NA,NA
"SHPK","SHPK","ENSG00000197417","sedoheptulokinase",NA,"N","N","N","HGNC:1492","SHPK",NA,NA,NA,NA,NA,NA,NA
"SIK1","SIK1","ENSG00000142178","salt inducible kinase 1","SIK family kinases","Y","N","N","HGNC:11142","SIK1","CAMK","CAMKL","QIK",NA,NA,NA,NA
"SIK2","SIK2","ENSG00000170145","salt inducible kinase 2","SIK family kinases","Y","N","N","HGNC:21680","SIK2","CAMK","CAMKL","QIK",NA,NA,NA,NA
"SIK3","SIK3","ENSG00000160584","SIK family kinase 3","SIK family kinases","Y","N","N","HGNC:29165","SIK3","CAMK","CAMKL","QIK",NA,NA,NA,NA
"SKP2","SKP2","ENSG00000145604","S-phase kinase associated protein 2",NA,"N","N","N","HGNC:10901","SKP2",NA,NA,NA,NA,NA,NA,NA
"SLK","SLK","ENSG00000065613","STE20 like kinase",NA,"N","N","N","HGNC:11088","SLK","STE","STE20","SLK",NA,NA,NA,NA
"SMG1","SMG1","ENSG00000157106","SMG1 nonsense mediated mRNA decay associated PI3K related kinase",NA,"N","N","N","HGNC:30045","SMG1","Atypical","PIKK","SMG1",NA,NA,NA,NA
"SNRK","SNRK","ENSG00000163788","SNF related kinase","SNRK family kinases","Y","N","N","HGNC:30598","SNRK","CAMK","CAMKL","SNRK",NA,NA,NA,NA
"SPEG","SPEG","ENSG00000072195","striated muscle enriched protein kinase","Myosin light chain kinase family","Y","N","N","HGNC:16901","SPEG","CAMK","Trio",NA,NA,NA,NA,NA
"SPEGNB","SPEGNB","ENSG00000286095","SPEG neighbor",NA,"N","N","N","HGNC:51251","SPEGNB","CAMK","Trio",NA,NA,NA,NA,NA
"SPHK1","SPHK1","ENSG00000176170","sphingosine kinase 1","Sphingosine kinase family","Y","Y","Y","HGNC:11240","SPHK1",NA,NA,NA,NA,NA,NA,NA
"SPHK2","SPHK2","ENSG00000063176","sphingosine kinase 2","Sphingosine kinase family","Y","Y","Y","HGNC:18859","SPHK2",NA,NA,NA,NA,NA,NA,NA
"SRC","SRC","ENSG00000197122","SRC proto-oncogene, non-receptor tyrosine kinase","Src family tyrosine kinases","Y","N","Y","HGNC:11283","SRC","TK","Src",NA,NA,NA,NA,NA
"SRMS","SRMS","ENSG00000125508","src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites","PTK6 family tyrosine kinases","Y","N","N","HGNC:11298","SRMS","TK","Src",NA,NA,NA,NA,NA
"SRPK1","SRPK1","ENSG00000096063","SRSF protein kinase 1","SRSF protein kinase family","Y","N","N","HGNC:11305","SRPK1","CMGC","SRPK",NA,NA,NA,NA,NA
"SRPK2","SRPK2","ENSG00000135250","SRSF protein kinase 2","SRSF protein kinase family","Y","N","N","HGNC:11306","SRPK2","CMGC","SRPK",NA,NA,NA,NA,NA
"SRPK3","SRPK3","ENSG00000184343","SRSF protein kinase 3","SRSF protein kinase family","Y","N","N","HGNC:11402","SRPK3",NA,NA,NA,NA,NA,NA,NA
"STK10","STK10","ENSG00000072786","serine/threonine kinase 10",NA,"N","N","N","HGNC:11388","STK10",NA,NA,NA,NA,NA,NA,NA
"STK11","STK11","ENSG00000118046","serine/threonine kinase 11","STK11 family kinases","Y","N","N","HGNC:11389","STK11",NA,NA,NA,NA,NA,NA,NA
"STK16","STK16","ENSG00000115661","serine/threonine kinase 16",NA,"N","N","N","HGNC:11394","STK16",NA,NA,NA,NA,NA,NA,NA
"STK17A","STK17A","ENSG00000164543","serine/threonine kinase 17a","Death associated protein kinases","Y","N","N","HGNC:11395","STK17A",NA,NA,NA,NA,NA,NA,NA
"STK17B","STK17B","ENSG00000081320","serine/threonine kinase 17b","Death associated protein kinases","Y","N","N","HGNC:11396","STK17B",NA,NA,NA,NA,NA,NA,NA
"STK24","STK24","ENSG00000102572","serine/threonine kinase 24",NA,"N","N","N","HGNC:11403","STK24",NA,NA,NA,NA,NA,NA,NA
"STK25","STK25","ENSG00000115694","serine/threonine kinase 25",NA,"N","N","N","HGNC:11404","STK25",NA,NA,NA,NA,NA,NA,NA
"STK26","STK26","ENSG00000134602","serine/threonine kinase 26",NA,"N","N","N","HGNC:18174","STK26",NA,NA,NA,NA,NA,NA,NA
"STK3","STK3","ENSG00000104375","serine/threonine kinase 3",NA,"N","N","N","HGNC:11406","STK3","CAMK","CAMK-Unique",NA,NA,NA,NA,NA
"STK31","STK31","ENSG00000196335","serine/threonine kinase 31",NA,"N","N","N","HGNC:11407","STK31",NA,NA,NA,NA,NA,NA,NA
"STK32A","STK32A","ENSG00000169302","serine/threonine kinase 32A","Serine/threonine kinase 32 family","Y","N","N","HGNC:28317","STK32A",NA,NA,NA,NA,NA,NA,NA
"STK32B","STK32B","ENSG00000152953","serine/threonine kinase 32B","Serine/threonine kinase 32 family","Y","N","N","HGNC:14217","STK32B",NA,NA,NA,NA,NA,NA,NA
"STK32C","STK32C","ENSG00000165752","serine/threonine kinase 32C","Serine/threonine kinase 32 family","Y","N","N","HGNC:21332","STK32C",NA,NA,NA,NA,NA,NA,NA
"STK33","STK33","ENSG00000130413","serine/threonine kinase 33","STK33 family kinases","Y","N","N","HGNC:14568","STK33","CAMK","CAMK-Unique",NA,NA,NA,NA,NA
"STK35","STK35","ENSG00000125834","serine/threonine kinase 35",NA,"N","N","N","HGNC:16254","STK35",NA,NA,NA,NA,NA,NA,NA
"STK36","STK36","ENSG00000163482","serine/threonine kinase 36",NA,"N","N","N","HGNC:17209","STK36",NA,NA,NA,NA,NA,NA,NA
"STK38","STK38","ENSG00000112079","serine/threonine kinase 38","Serine/threonine kinase 38 family","Y","N","N","HGNC:17847","STK38",NA,NA,NA,NA,NA,NA,NA
"STK38L","STK38L","ENSG00000211455","serine/threonine kinase 38 like","Serine/threonine kinase 38 family","Y","N","N","HGNC:17848","STK38L",NA,NA,NA,NA,NA,NA,NA
"STK39","STK39","ENSG00000198648","serine/threonine kinase 39",NA,"N","N","N","HGNC:17717","STK39",NA,NA,NA,NA,NA,NA,NA
"STK4","STK4","ENSG00000101109","serine/threonine kinase 4",NA,"N","N","N","HGNC:11408","STK4",NA,NA,NA,NA,NA,NA,NA
"STK40","STK40","ENSG00000196182","serine/threonine kinase 40","Tribbles pseudokinase family","Y","N","N","HGNC:21373","STK40",NA,NA,NA,NA,NA,NA,NA
"STKLD1","STKLD1","ENSG00000198870","serine/threonine kinase like domain containing 1",NA,"N","N","N","HGNC:28669","STKLD1",NA,NA,NA,NA,NA,NA,NA
"STRADA","STRADA","ENSG00000266173","STE20 related adaptor alpha",NA,"N","N","N","HGNC:30172","STRADA",NA,NA,NA,NA,NA,NA,NA
"STRADB","STRADB","ENSG00000082146","STE20 related adaptor beta",NA,"N","N","N","HGNC:13205","STRADB",NA,NA,NA,NA,NA,NA,NA
"STYK1","STYK1","ENSG00000060140","serine/threonine/tyrosine kinase 1","Receptor tyrosine kinases","Y","N","N","HGNC:18889","STYK1",NA,NA,NA,NA,NA,NA,NA
"SYK","SYK","ENSG00000165025","spleen associated tyrosine kinase","Syk family tyrosine kinases","Y","N","N","HGNC:11491","SYK","TK","Syk",NA,NA,NA,NA,NA
"TAB1","TAB1","ENSG00000100324","TGF-beta activated kinase 1 (MAP3K7) binding protein 1",NA,"N","N","Y","HGNC:18157","TAB1",NA,NA,NA,NA,NA,NA,NA
"TAF1","TAF1","ENSG00000147133","TATA-box binding protein associated factor 1",NA,"N","N","N","HGNC:11535","TAF1","Atypical","TAF1",NA,NA,NA,NA,NA
"TAF1L","TAF1L","ENSG00000122728","TATA-box binding protein associated factor 1 like",NA,"N","N","N","HGNC:18056","TAF1L","Atypical","TAF1",NA,NA,NA,NA,NA
"TAOK1","TAOK1","ENSG00000160551","TAO kinase 1","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:29259","TAOK1",NA,NA,NA,NA,NA,NA,NA
"TAOK2","TAOK2","ENSG00000149930","TAO kinase 2","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:16835","TAOK2",NA,NA,NA,NA,NA,NA,NA
"TAOK3","TAOK3","ENSG00000135090","TAO kinase 3","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:18133","TAOK3",NA,NA,NA,NA,NA,NA,NA
"TBCK","TBCK","ENSG00000145348","TBC1 domain containing kinase",NA,"N","N","N","HGNC:28261","TBCK","Other","TBCK",NA,NA,NA,NA,NA
"TBK1","TBK1","ENSG00000183735","TANK binding kinase 1","I kappa B kinases","Y","N","Y","HGNC:11584","TBK1","Other","IKK",NA,NA,NA,NA,NA
"TEC","TEC","ENSG00000135605","tec protein tyrosine kinase","Tec family tyrosine kinases","Y","N","N","HGNC:11719","TEC","TK","Tec",NA,NA,NA,NA,NA
"TEK","TEK","ENSG00000120156","TEK receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:11724","TEK",NA,NA,NA,NA,NA,NA,NA
"TESK1","TESK1","ENSG00000107140","testis associated actin remodelling kinase 1","LIMK/TESK kinase family","Y","N","N","HGNC:11731","TESK1","TKL","LISK","TESK",NA,NA,NA,NA
"TESK2","TESK2","ENSG00000070759","testis associated actin remodelling kinase 2","LIMK/TESK kinase family","Y","N","N","HGNC:11732","TESK2","TKL","LISK","TESK",NA,NA,NA,NA
"TEX14","TEX14","ENSG00000121101","testis expressed 14, intercellular bridge forming factor",NA,"N","N","N","HGNC:11737","TEX14",NA,NA,NA,NA,NA,NA,NA
"TGFBR1","TGFBR1","ENSG00000106799","transforming growth factor beta receptor 1","Type 1 receptor serine/threonine kinases","Y","N","N","HGNC:11772","TGFBR1","TKL","STKR","Type1","TKL","STKR","STKR1","ENSG00000106799"
"TGFBR2","TGFBR2","ENSG00000163513","transforming growth factor beta receptor 2","Type 2 receptor serine/threonine kinases","Y","N","N","HGNC:11773","TGFBR2","TKL","STKR","Type2",NA,NA,NA,NA
"TIE1","TIE1","ENSG00000066056","tyrosine kinase with immunoglobulin like and EGF like domains 1","Receptor tyrosine kinases","Y","N","N","HGNC:11809","TIE1","TK","Tie",NA,NA,NA,NA,NA
"TK1","TK1","ENSG00000167900","thymidine kinase 1","Deoxyribonucleoside kinases","Y","Y","N","HGNC:11830","TK1",NA,NA,NA,NA,NA,NA,NA
"TK2","TK2","ENSG00000166548","thymidine kinase 2","Deoxyribonucleoside kinases","Y","Y","N","HGNC:11831","TK2",NA,NA,NA,NA,NA,NA,NA
"TKFC","TKFC","ENSG00000149476","triokinase and FMN cyclase",NA,"N","Y","Y","HGNC:24552","TKFC",NA,NA,NA,NA,NA,NA,NA
"TLK1","TLK1","ENSG00000198586","tousled like kinase 1",NA,"N","N","N","HGNC:11841","TLK1","Other","TLK",NA,NA,NA,NA,NA
"TLK2","TLK2","ENSG00000146872","tousled like kinase 2",NA,"N","N","N","HGNC:11842","TLK2","Other","TLK",NA,NA,NA,NA,NA
"TNIK","TNIK","ENSG00000154310","TRAF2 and NCK interacting kinase",NA,"N","N","N","HGNC:30765","TNIK",NA,NA,NA,NA,NA,NA,NA
"TNK1","TNK1","ENSG00000174292","tyrosine kinase non receptor 1","TNK family tyrosine kinases","Y","N","N","HGNC:11940","TNK1","TK","Ack",NA,NA,NA,NA,NA
"TNK2","TNK2","ENSG00000061938","tyrosine kinase non receptor 2","TNK family tyrosine kinases","Y","N","N","HGNC:19297","TNK2",NA,NA,NA,"TK","Ack",NA,"ENSG00000061938"
"TNNI3K","TNNI3K","ENSG00000116783","TNNI3 interacting kinase",NA,"N","N","N","HGNC:19661","TNNI3K",NA,NA,NA,NA,NA,NA,NA
"TOP1","TOP1","ENSG00000198900","DNA topoisomerase I",NA,"N","N","N","HGNC:11986","TOP1",NA,NA,NA,NA,NA,NA,NA
"TP53RK","TP53RK","ENSG00000172315","TP53 regulating kinase",NA,"N","N","N","HGNC:16197","TP53RK",NA,NA,NA,NA,NA,NA,NA
"TPK1","TPK1","ENSG00000196511","thiamin pyrophosphokinase 1",NA,"N","Y","N","HGNC:17358","TPK1",NA,NA,NA,NA,NA,NA,NA
"TPTEP2-CSNK1E","TPTEP2-CSNK1E","ENSG00000283900","TPTEP2-CSNK1E readthrough",NA,"N","N","N","HGNC:53829","TPTEP2-CSNK1E",NA,NA,NA,NA,NA,NA,NA
"TRIB1","TRIB1","ENSG00000173334","tribbles pseudokinase 1","Tribbles pseudokinase family","Y","N","N","HGNC:16891","TRIB1",NA,NA,NA,"CAMK","Trbl",NA,"ENSG00000173334"
"TRIB2","TRIB2","ENSG00000071575","tribbles pseudokinase 2","Tribbles pseudokinase family","Y","N","N","HGNC:30809","TRIB2",NA,NA,NA,NA,NA,NA,NA
"TRIB3","TRIB3","ENSG00000101255","tribbles pseudokinase 3","Tribbles pseudokinase family","Y","N","N","HGNC:16228","TRIB3",NA,NA,NA,NA,NA,NA,NA
"TRIM24","TRIM24","ENSG00000122779","tripartite motif containing 24",NA,"N","N","N","HGNC:11812","TRIM24",NA,NA,NA,NA,NA,NA,NA
"TRIM28","TRIM28","ENSG00000130726","tripartite motif containing 28",NA,"N","N","N","HGNC:16384","TRIM28",NA,NA,NA,NA,NA,NA,NA
"TRIO","TRIO","ENSG00000038382","trio Rho guanine nucleotide exchange factor",NA,"N","N","N","HGNC:12303","TRIO","CAMK","Trio",NA,NA,NA,NA,NA
"TRPM6","TRPM6","ENSG00000119121","transient receptor potential cation channel subfamily M member 6",NA,"N","N","N","HGNC:17995","TRPM6",NA,NA,NA,NA,NA,NA,NA
"TRPM7","TRPM7","ENSG00000092439","transient receptor potential cation channel subfamily M member 7",NA,"N","N","N","HGNC:17994","TRPM7",NA,NA,NA,NA,NA,NA,NA
"TSSK1B","TSSK1B","ENSG00000212122","testis specific serine kinase 1B","Testis specific serine kinase family","Y","N","N","HGNC:14968","TSSK1B","CAMK","TSSK",NA,NA,NA,NA,NA
"TSSK2","TSSK2","ENSG00000206203","testis specific serine kinase 2","Testis specific serine kinase family","Y","N","N","HGNC:11401","TSSK2","CAMK","TSSK",NA,NA,NA,NA,NA
"TSSK3","TSSK3","ENSG00000162526","testis specific serine kinase 3","Testis specific serine kinase family","Y","N","N","HGNC:15473","TSSK3","CAMK","TSSK",NA,NA,NA,NA,NA
"TSSK4","TSSK4","ENSG00000139908","testis specific serine kinase 4","Testis specific serine kinase family","Y","N","N","HGNC:19825","TSSK4","CAMK","TSSK",NA,NA,NA,NA,NA
"TSSK6","TSSK6","ENSG00000178093","testis specific serine kinase 6","Testis specific serine kinase family","Y","N","N","HGNC:30410","TSSK6",NA,NA,NA,NA,NA,NA,NA
"TTBK1","TTBK1","ENSG00000146216","tau tubulin kinase 1",NA,"N","N","N","HGNC:19140","TTBK1","CK1","TTBK",NA,NA,NA,NA,NA
"TTBK2","TTBK2","ENSG00000128881","tau tubulin kinase 2",NA,"N","N","N","HGNC:19141","TTBK2","CK1","TTBK",NA,NA,NA,NA,NA
"TTK","TTK","ENSG00000112742","TTK protein kinase",NA,"N","N","N","HGNC:12401","TTK","Other","TTK",NA,NA,NA,NA,NA
"TTN","TTN","ENSG00000155657","titin","Myosin light chain kinase family","Y","N","N","HGNC:12403","TTN","CAMK","MLCK",NA,NA,NA,NA,NA
"TXK","TXK","ENSG00000074966","TXK tyrosine kinase","Tec family tyrosine kinases","Y","N","N","HGNC:12434","TXK","TK","Tec",NA,NA,NA,NA,NA
"TYK2","TYK2","ENSG00000105397","tyrosine kinase 2","Jak family tyrosine kinases","Y","N","N","HGNC:12440","TYK2","TK","JakA",NA,NA,NA,NA,NA
"TYRO3","TYRO3","ENSG00000092445","TYRO3 protein tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:12446","TYRO3","TK","Axl",NA,NA,NA,NA,NA
"UCK1","UCK1","ENSG00000130717","uridine-cytidine kinase 1",NA,"N","Y","N","HGNC:14859","UCK1",NA,NA,NA,NA,NA,NA,NA
"UCK2","UCK2","ENSG00000143179","uridine-cytidine kinase 2",NA,"N","Y","N","HGNC:12562","UCK2",NA,NA,NA,NA,NA,NA,NA
"UCKL1","UCKL1","ENSG00000198276","uridine-cytidine kinase 1 like 1",NA,"N","Y","N","HGNC:15938","UCKL1",NA,NA,NA,NA,NA,NA,NA
"UHMK1","UHMK1","ENSG00000152332","U2AF homology motif kinase 1",NA,"N","N","N","HGNC:19683","UHMK1",NA,NA,NA,NA,NA,NA,NA
"ULK1","ULK1","ENSG00000177169","unc-51 like autophagy activating kinase 1",NA,"N","N","N","HGNC:12558","ULK1","Other","ULK",NA,NA,NA,NA,NA
"ULK2","ULK2","ENSG00000083290","unc-51 like autophagy activating kinase 2",NA,"N","N","N","HGNC:13480","ULK2","Other","ULK",NA,NA,NA,NA,NA
"ULK3","ULK3","ENSG00000140474","unc-51 like kinase 3",NA,"N","N","N","HGNC:19703","ULK3","Other","ULK",NA,NA,NA,NA,NA
"ULK4","ULK4","ENSG00000168038","unc-51 like kinase 4",NA,"N","N","N","HGNC:15784","ULK4","Other","ULK",NA,NA,NA,NA,NA
"VRK1","VRK1","ENSG00000100749","VRK serine/threonine kinase 1",NA,"N","N","N","HGNC:12718","VRK1","CK1","VRK",NA,NA,NA,NA,NA
"VRK2","VRK2","ENSG00000028116","VRK serine/threonine kinase 2",NA,"N","N","N","HGNC:12719","VRK2","CK1","VRK",NA,NA,NA,NA,NA
"VRK3","VRK3","ENSG00000105053","VRK serine/threonine kinase 3",NA,"N","N","N","HGNC:18996","VRK3","CK1","VRK",NA,NA,NA,NA,NA
"WDR83","WDR83","ENSG00000123154","WD repeat domain 83",NA,"N","N","N","HGNC:32672","WDR83",NA,NA,NA,NA,NA,NA,NA
"WEE1","WEE1","ENSG00000166483","WEE1 G2 checkpoint kinase",NA,"N","N","N","HGNC:12761","WEE1","Other","WEE",NA,NA,NA,NA,NA
"WEE2","WEE2","ENSG00000214102","WEE2 oocyte meiosis inhibiting kinase",NA,"N","N","N","HGNC:19684","WEE2",NA,NA,NA,NA,NA,NA,NA
"WHR1","WHR1","ENSG00000226033","winged helix repair factor 1",NA,"N","N","N","HGNC:11398","WHR1",NA,NA,NA,NA,NA,NA,NA
"WNK1","WNK1","ENSG00000060237","WNK lysine deficient protein kinase 1","WNK lysine deficient protein kinases","Y","N","N","HGNC:14540","WNK1","Other","Wnk",NA,NA,NA,NA,NA
"WNK2","WNK2","ENSG00000165238","WNK lysine deficient protein kinase 2","WNK lysine deficient protein kinases","Y","N","N","HGNC:14542","WNK2","Other","Wnk",NA,"Other","WNK",NA,"ENSG00000165238"
"WNK3","WNK3","ENSG00000196632","WNK lysine deficient protein kinase 3","WNK lysine deficient protein kinases","Y","N","N","HGNC:14543","WNK3","Other","Wnk",NA,NA,NA,NA,NA
"WNK4","WNK4","ENSG00000126562","WNK lysine deficient protein kinase 4","WNK lysine deficient protein kinases","Y","N","N","HGNC:14544","WNK4","Other","Wnk",NA,NA,NA,NA,NA
"XYLB","XYLB","ENSG00000093217","xylulokinase",NA,"N","N","N","HGNC:12839","XYLB",NA,NA,NA,NA,NA,NA,NA
"YES1","YES1","ENSG00000176105","YES proto-oncogene 1, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","N","HGNC:12841","YES1","TK","Src",NA,NA,NA,NA,NA
"YWHAZ","YWHAZ","ENSG00000164924","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta",NA,"N","N","N","HGNC:12855","YWHAZ",NA,NA,NA,NA,NA,NA,NA
"ZAP70","ZAP70","ENSG00000115085","zeta chain of T cell receptor associated protein kinase 70","Syk family tyrosine kinases","Y","N","N","HGNC:12858","ZAP70","TK","Syk",NA,NA,NA,NA,NA
